#{"t_start": 1764475657.2708418, "env_id": "merge-v0"}
r,l,t
4.280723,5,3.920081
3.394444,4,4.072121
10.686374,14,4.604478
5.163876,6,4.825385
6.868926,8,5.138304
10.444962,12,5.491113
3.177876,4,5.661972
6.639731,8,5.950185
9.168598,11,6.378897
4.164782,5,6.572236
6.300314,8,6.871983
7.100821,9,7.242644
7.24707,9,7.576951
6.74492,8,7.863593
6.097573,7,8.156829
4.915644,6,8.431659
6.918,9,8.807749
8.775559,11,9.290508
10.372886,12,9.810696
11.400716,13,10.386211
4.05261,5,10.616081
7.639521,9,10.997441
6.832807,8,11.435972
4.956925,6,11.809809
13.455903,15,12.702043
6.847177,8,13.067227
3.29879,4,13.232834
4.069963,5,13.417293
4.791435,6,13.62771
10.955963,14,14.240708
7.885744,9,23.644316
6.791635,8,23.96601
7.577435,9,24.309366
13.633735,15,24.961196
4.15448,5,25.171124
10.188422,12,25.655942
4.874876,6,25.865869
4.036436,5,26.102865
9.31981,11,26.608211
5.179147,6,26.825877
8.650804,10,27.23766
4.944769,6,27.497593
13.705905,15,28.103637
5.111216,6,28.354289
7.596527,9,28.758829
9.790338,11,29.213561
5.717344,7,29.492641
6.005177,7,29.787126
6.78867,8,30.073765
4.041197,5,30.316419
13.95747,15,31.152108
12.13859,16,31.98703
6.504835,8,32.392839
4.166538,5,32.631595
12.108534,14,33.331543
4.132123,5,33.569352
10.232702,12,35.398092
7.549218,9,36.073576
14.828457,17,46.618276
5.316765,6,46.92419
13.189234,15,47.453969
11.926647,15,48.085659
11.056183,15,48.600074
5.097945,6,48.839251
3.288894,4,49.006731
4.207037,5,49.191448
6.955337,8,49.513643
12.41272,15,50.130663
7.780123,10,50.500688
4.004812,5,50.741883
3.354346,4,50.896377
4.086276,5,51.089227
7.259292,9,51.440148
13.606233,16,52.09931
11.06112,13,52.638698
5.04992,6,52.893929
12.028397,14,53.520984
3.95646,5,53.822114
12.939568,15,54.566058
7.430093,9,55.010114
6.88435,8,55.30185
13.197388,16,57.021224
6.716144,8,57.301594
3.333333,4,57.461078
4.123704,5,57.679834
7.722854,9,66.587759
9.235396,11,67.048794
4.680312,6,67.2699
9.10669,11,67.735083
5.714321,7,68.016727
7.405051,9,68.366691
11.906543,16,69.056237
12.715327,17,69.767752
6.877638,8,70.061159
9.304109,11,70.534356
9.039659,11,71.077548
13.344839,15,71.677978
6.896285,8,72.113967
12.328818,15,72.686681
4.094542,5,72.890329
9.698126,14,73.490149
11.375221,14,74.117067
9.113402,11,74.544521
8.418576,10,74.975903
10.356613,12,75.518908
7.398134,9,75.901093
10.735845,13,76.407037
13.300669,15,76.962765
11.08765,14,85.425059
8.578254,10,85.835415
7.038017,9,86.282786
8.991696,12,86.745206
8.827942,11,87.206276
11.793048,16,87.831104
12.333677,14,88.510077
11.860805,16,90.198417
14.263407,16,90.859756
12.607165,15,91.426942
8.202349,10,91.920389
3.927876,5,92.26855
10.685002,15,93.011313
4.981338,6,93.240898
6.995604,8,93.572897
12.689172,17,94.224579
10.728848,13,94.734118
6.305483,8,95.030234
3.951162,5,95.242983
6.642618,8,95.574835
5.62708,7,95.823343
3.366667,4,96.003166
7.167664,9,96.445286
6.83505,8,96.783697
12.73562,14,105.529078
12.052493,16,106.15134
5.179422,6,106.388627
11.253323,14,107.147976
5.806983,7,107.423705
12.421076,15,108.051355
11.405662,15,108.617711
13.250344,15,109.190299
13.078457,15,109.845844
9.586777,12,110.288384
10.71869,14,110.869228
8.309002,10,111.261023
8.2162,10,111.704375
6.339579,8,112.042276
4.972662,6,112.280739
5.137009,6,112.520008
9.516886,12,112.99405
8.661921,10,113.396462
3.398383,4,113.532808
13.634012,16,114.153756
10.319132,12,114.697223
11.188384,13,115.254856
4.870195,6,115.472908
7.504241,9,125.109738
12.300283,17,125.753922
7.012495,9,126.122056
4.931395,6,126.342957
11.490903,15,126.902451
11.999703,16,127.548708
13.888956,16,128.218869
11.037602,14,128.801542
12.558497,15,129.369545
5.560487,7,129.687958
14.521279,16,130.285493
12.66178,14,130.870392
13.030721,16,131.543478
5.83604,7,131.829424
8.652782,11,132.258254
5.879749,7,132.569129
14.027837,15,133.210263
14.106234,16,133.801426
12.240209,16,134.458467
12.882334,15,135.174434
14.106234,16,143.60609
4.370605,5,143.815931
3.333333,4,143.967721
12.595445,15,144.569137
12.191106,16,145.261033
7.495482,9,145.725929
13.355957,15,146.298668
7.034136,8,146.650769
14.48563,17,147.304377
4.196156,5,147.524885
13.639885,16,148.202012
12.384012,14,148.774442
11.530908,14,149.378867
12.133042,15,149.934794
5.130376,6,150.183941
8.13437,10,150.634091
8.169086,10,151.002357
10.582825,13,151.543723
14.161513,16,152.148768
13.870947,15,152.761652
11.328457,14,153.328717
3.305556,4,153.479217
13.772892,16,163.287123
4.865131,6,163.53977
3.818752,5,163.737516
10.919796,13,164.277833
13.606234,16,164.928078
8.900387,10,165.301836
10.558499,14,165.814476
5.847101,7,166.088555
4.754739,6,166.322217
14.634012,17,166.981084
6.833485,8,167.324833
12.43855,15,167.871206
14.717346,17,168.534521
5.538592,7,168.829155
13.745123,15,169.454697
11.743977,14,170.051304
11.861377,15,170.64029
14.18956,16,171.359657
5.401134,7,171.728167
5.895132,8,172.087931
6.757895,8,172.490254
12.91179,15,173.228579
10.8641,14,183.306397
5.242832,6,183.547173
12.023697,14,184.109789
6.031885,8,184.410454
3.882951,5,184.578273
14.318961,16,185.23851
6.790971,8,185.617697
14.717346,17,186.320873
7.644304,10,186.710268
13.917003,16,187.353157
7.40626,9,187.723382
11.774764,16,188.370055
8.552142,10,188.833746
11.969151,16,190.508346
12.243105,17,191.152597
8.939943,11,191.581188
11.104776,14,192.12837
12.043048,16,192.816516
10.945944,14,193.418418
10.000624,15,193.999182
9.013075,11,202.711075
3.338925,4,202.890346
13.6059,15,203.517797
13.27194,17,204.197013
12.21695,17,204.864459
4.902308,6,205.11102
5.209122,6,205.368544
9.009072,12,205.805048
13.141832,16,206.457761
8.856593,11,206.867954
10.111126,12,207.329951
13.364241,16,207.930508
12.161394,17,208.560924
5.99019,8,208.888541
11.955394,15,209.416297
12.929746,15,210.028229
11.252342,15,210.686764
13.88368,16,211.303766
13.475165,16,211.957177
13.745123,16,212.588712
11.967704,14,221.015034
11.481354,14,221.630826
5.747042,7,221.896768
7.896975,10,222.291249
6.412174,8,223.645566
13.392332,16,224.386833
12.614054,15,225.005198
12.939178,14,225.581789
3.333333,4,225.723292
12.578061,17,226.465555
11.996986,16,227.094779
14.457852,17,227.834391
13.717346,16,228.421737
12.036964,14,228.949686
13.66179,16,229.582765
5.034502,6,229.815045
14.400397,16,230.437335
13.197574,16,231.050743
7.592463,9,231.407053
13.106593,16,239.787313
13.197388,16,240.45726
15.022901,17,241.187913
13.891832,17,241.853058
11.885875,16,242.488998
10.928641,13,243.060527
12.939568,15,243.693068
12.912719,16,244.337118
13.578409,16,244.955646
14.178452,16,245.572593
14.939568,17,246.214792
12.605272,15,246.796678
7.065844,9,247.17323
9.475564,11,247.625518
13.717346,16,248.269254
14.412165,17,248.92493
14.002943,17,249.568383
13.578457,16,259.196213
13.955952,16,259.767558
10.021115,12,260.237575
12.633616,17,260.959317
14.384012,17,261.588747
12.16637,16,262.217022
15.289563,17,262.89916
12.328061,17,263.568692
11.913653,16,264.235301
12.550283,17,264.94308
13.717346,16,265.601185
12.4019,17,266.214585
12.550283,17,266.862707
12.052541,16,267.519989
11.885875,16,268.164706
7.42011,9,268.545874
14.884012,17,277.011341
15.207852,17,277.649699
15.022901,17,278.345868
12.166368,16,278.999231
14.522901,17,279.684705
15.106234,17,280.356692
12.495123,15,280.925396
14.967346,17,281.555753
13.08042,16,282.380267
14.124733,17,283.0834
13.426906,17,283.694098
8.373011,11,284.155391
12.86462,15,284.78161
14.521279,17,285.428756
14.41179,17,286.091714
12.522505,17,286.731826
12.862959,17,296.185095
14.772901,17,296.814008
15.189568,17,297.464743
12.10132,16,298.102707
12.138544,16,298.677938
13.522901,16,299.292572
14.114054,17,299.988501
14.384012,17,300.65645
10.827592,13,301.12343
14.828132,17,301.838421
14.439568,17,302.511352
15.050679,17,303.212245
14.245123,17,303.876762
14.030721,17,304.559028
14.298722,16,305.175334
14.225165,17,305.87299
7.710748,10,314.181562
14.048724,16,314.908201
13.467346,16,315.573841
15.180074,17,316.296972
13.780721,17,316.957943
13.23805,16,317.545933
12.687272,17,318.204579
14.5,17,318.876259
15.106234,17,319.471194
12.439172,17,320.176283
12.096704,16,320.81202
12.17082,16,321.410833
14.328457,17,322.068319
15.078457,17,323.765773
12.328061,17,324.444985
10.106234,12,324.910354
10.577656,14,333.165738
13.412776,17,333.876014
12.550283,17,334.610517
15.106234,17,335.309622
14.745123,17,336.067899
12.661394,17,336.7417
14.772901,17,337.400456
15.106234,17,338.047886
12.605839,17,338.702154
14.439568,17,339.355153
14.606234,17,339.957362
12.688895,17,340.604
9.218272,11,341.041722
13.108198,16,341.682774
14.328457,16,342.262435
14.328457,17,350.966609
12.244727,17,351.610066
14.995123,17,352.285938
14.439568,17,352.944043
15.16179,17,353.592899
13.747087,17,354.266244
14.884012,17,354.961308
15.078457,17,356.7982
14.772901,17,357.474769
12.494727,17,358.1889
13.182785,16,358.87998
12.154919,16,359.646076
12.633616,17,360.417216
12.605839,17,361.184825
13.634998,17,362.010053
12.633616,17,362.682048
14.225165,17,372.017158
12.633616,17,372.645407
12.46695,17,373.379237
14.439568,17,374.085025
12.661394,17,374.736146
15.16179,17,375.440251
12.689172,17,376.126634
12.633616,17,376.808604
12.659772,17,377.449149
13.216481,16,378.092335
15.16179,17,378.82444
12.64802,15,379.449186
15.078457,17,380.098616
15.078457,17,380.73141
9.789421,14,381.291841
12.494727,17,391.02312
12.661394,17,391.715158
13.197388,16,392.523471
14.272901,17,393.168942
14.717346,17,393.88446
14.439568,17,394.555532
15.189568,17,395.22609
15.106234,17,395.868453
15.134012,17,396.526469
14.384012,17,397.218404
13.808499,17,397.871795
11.246986,16,398.553443
15.134012,17,399.236519
12.661394,17,399.905924
14.772901,17,400.5978
11.475352,14,409.276966
12.550283,17,410.079109
10.993346,13,410.57393
12.163653,16,411.254433
12.661394,17,411.885563
15.050679,17,412.60629
12.124481,16,413.208773
12.189172,17,413.835183
14.967346,17,414.507069
15.106234,17,415.212557
12.605839,17,415.866448
12.244259,15,416.465104
15.16179,17,417.078915
14.745123,17,417.770622
6.592384,8,418.113737
11.828061,17,418.783136
12.605839,17,428.629925
14.217346,17,429.280187
15.078457,17,429.904091
12.578061,17,430.577599
12.633616,17,431.296587
14.447388,17,431.906222
12.594675,17,432.550477
14.578457,17,433.234759
12.705833,17,433.910587
15.050679,17,434.631395
15.134012,17,435.274298
12.605561,17,435.97904
10.891308,13,436.479293
14.800679,17,437.161122
12.633616,17,437.906485
12.494727,17,438.566795
12.383616,17,447.267237
14.967346,17,447.893385
12.522505,17,448.520192
13.189926,16,449.106814
15.078457,17,449.782121
13.91961,17,450.508341
12.633616,17,451.215021
15.078457,17,451.904495
14.150339,16,452.551709
11.558685,14,453.071973
8.808999,11,453.544743
12.633616,17,454.188747
14.38239,16,454.842198
12.578061,17,456.554988
14.772901,17,457.226052
15.134012,17,457.852338
15.16179,17,466.532509
15.106234,17,467.278063
12.661394,17,468.014307
14.245123,17,468.688844
15.134012,17,469.394645
15.106234,17,470.037457
14.995123,17,470.784403
10.077592,12,471.283893
15.189568,17,472.020492
14.453576,17,472.711701
14.356234,17,473.335276
12.522505,17,473.958559
12.358198,15,474.569547
15.022901,17,475.243651
12.161753,16,475.873426
12.522505,17,484.44569
12.578061,17,485.140825
13.947388,17,485.883637
15.106234,17,486.591078
15.050679,17,487.287538
12.550283,17,487.973929
15.134012,17,488.632958
12.605839,17,490.393947
12.078061,17,491.074081
15.106234,17,491.705351
12.558685,15,492.288303
15.161743,17,492.939785
14.550679,17,493.68444
14.467346,17,494.329068
12.605839,17,495.036577
12.578061,17,504.317534
12.578061,17,505.032737
13.496109,17,505.772996
14.319178,17,506.47764
15.022901,17,507.168213
15.134012,17,507.959661
14.606234,17,508.66644
12.689172,17,509.412138
12.578061,17,510.113777
12.605839,17,510.758309
14.550679,17,511.533729
12.605839,17,512.298135
15.16179,17,513.093187
15.189568,17,513.801622
14.967346,17,514.459069
13.939926,17,524.652802
14.939568,17,525.483838
14.995123,17,526.189489
15.16179,17,526.890185
15.050679,17,527.532837
14.134012,16,528.187014
15.078457,17,528.875667
12.550283,17,529.530197
13.836277,17,530.202971
12.661394,17,530.881568
9.373159,11,531.340558
12.605839,17,532.10844
10.937781,13,532.668602
14.772901,17,533.30299
11.904717,14,533.81227
12.578061,17,534.569481
14.717346,17,542.959461
12.31753,15,543.576675
13.91961,17,544.201965
13.864054,17,544.949768
15.106234,17,545.613839
15.106234,17,546.298763
13.496109,17,546.987692
10.938704,13,547.484546
12.108097,16,548.113838
14.856234,17,548.823065
14.66179,17,549.486985
12.411394,17,550.152604
15.217298,17,550.828524
14.606234,17,551.480678
14.91179,17,552.200735
12.578061,17,552.870651
10.142212,14,562.702746
12.46695,17,563.36187
12.605839,17,564.04233
12.133975,16,564.690175
15.106234,17,565.371773
13.975165,17,566.038289
12.689172,17,566.723176
15.078457,17,567.398895
12.661394,17,568.011828
12.633616,17,568.711157
12.633616,17,569.357546
12.633616,17,570.030369
13.975165,17,570.671029
13.836277,17,571.291852
14.550679,17,571.935468
12.46695,17,580.652831
12.689172,17,581.414292
15.189568,17,582.062245
14.217346,16,582.714473
15.078457,17,583.485033
15.022901,17,584.146305
12.166368,16,584.753688
11.087763,15,585.285766
12.605839,17,585.882942
14.197388,17,586.558987
12.494727,17,587.300884
12.578061,17,587.907188
12.661394,17,588.584683
14.300669,16,590.285034
15.078457,17,590.929389
15.134012,17,599.65209
12.221925,16,600.249609
12.605839,17,600.92147
12.578061,17,601.598233
14.745123,17,602.277331
12.190821,15,602.942756
12.661394,17,603.615592
14.495123,17,604.291337
12.439172,17,604.930487
15.078457,17,605.587213
13.605273,17,606.269502
12.550283,17,606.891432
12.494727,17,607.520356
15.134012,17,608.176749
12.108095,16,608.824841
12.605839,17,609.575318
13.410829,17,617.913385
15.134012,17,618.602109
14.467346,17,619.337123
12.633616,17,619.970992
14.058499,17,620.684323
14.995123,17,621.388386
15.106234,17,623.233411
12.578061,17,623.942941
12.661394,17,624.617694
12.661394,17,625.313324
14.606234,17,625.987253
15.134012,17,626.654055
14.530721,17,627.340023
12.633616,17,628.043758
10.096956,12,628.506713
12.605839,17,637.080174
15.134012,17,638.048177
12.605839,17,638.985461
10.596294,14,639.839755
12.578061,17,642.011862
11.328419,17,642.854087
13.605273,17,643.90222
11.870243,14,644.600686
15.16179,17,645.384403
15.050679,17,646.186893
11.828061,17,647.013935
14.16961,17,647.808203
12.633616,17,648.783066
13.801665,17,649.832597
12.633616,17,650.704424
15.189568,17,661.334982
12.494727,17,662.089582
15.078457,17,662.726316
10.108198,12,663.346581
14.217346,17,664.038725
12.522505,17,664.769483
15.134012,17,665.532722
14.550679,17,666.326495
12.161394,17,666.987205
12.689172,17,667.674522
15.106234,17,668.343668
15.078457,17,669.041644
12.578061,17,669.857655
12.578061,17,670.629545
9.244259,11,671.088235
15.106234,17,671.771667
12.633616,17,680.639515
12.689172,17,681.303065
13.718331,17,682.038384
14.439568,17,682.784546
12.522505,17,683.500486
14.66179,17,684.212605
15.078457,17,684.905253
13.993449,17,685.582942
14.114054,17,686.271556
15.106234,17,686.918838
12.605839,17,687.70059
14.522901,17,688.376863
15.106234,17,690.11362
9.993337,12,690.647466
12.374733,15,691.233834
15.134012,17,691.910825
14.578457,17,700.749046
15.134012,17,701.460992
12.633616,17,702.170167
15.050679,17,702.797264
14.550679,17,703.553712
13.73373,16,704.201852
13.91961,17,704.854942
13.300679,16,705.464291
14.578457,17,706.130248
15.189568,17,706.818373
12.63437,15,707.401276
14.086277,17,708.127168
12.605839,17,708.775835
14.197388,17,709.4596
15.16179,17,710.227755
13.975165,17,718.739021
15.134012,17,719.377009
12.633608,17,720.059607
12.633616,17,720.72498
12.689172,17,721.381909
14.550679,17,723.079146
12.605839,17,723.813459
15.16179,17,724.468653
12.689172,17,725.141061
11.725666,14,725.700852
15.078457,17,726.36303
15.134012,17,727.023957
14.384012,17,727.688393
15.16179,17,728.354757
10.985845,13,728.841524
15.106234,17,737.546835
12.633616,17,738.182202
12.633616,17,738.884946
12.578061,17,739.554502
15.106234,17,740.23949
15.134012,17,740.900578
15.189568,17,741.513048
15.134012,17,742.197362
10.897781,13,742.685263
15.16179,17,743.400948
12.633616,17,744.10948
12.633616,17,744.779746
15.134012,17,745.426376
12.689172,17,746.146294
15.189568,17,746.835263
15.106234,17,747.487721
12.633616,17,757.150362
12.633616,17,757.810028
15.134012,17,758.481686
14.300679,17,759.190017
14.356234,17,759.869782
10.540738,14,760.401344
12.661394,17,761.149929
12.605839,17,761.751793
15.106234,17,762.391759
12.342465,15,762.959462
12.661394,17,763.628158
12.661394,17,764.348877
15.134012,17,765.06305
12.633616,17,765.825263
13.064448,16,766.578127
11.475666,14,775.258992
13.773887,17,775.979494
10.967346,13,776.556211
15.16179,17,777.166479
14.578457,17,777.772827
14.384012,17,778.488602
15.078457,17,779.118788
14.745123,17,779.793959
14.300679,17,780.435953
15.106234,17,781.078801
15.078457,17,781.709531
13.864054,17,782.410217
12.633616,17,783.053753
15.16179,17,783.713086
12.550283,17,784.400834
13.718331,17,793.89772
12.605839,17,794.618573
12.633616,17,795.318152
15.134012,17,795.975716
15.106234,17,796.660735
14.606234,17,797.412568
14.606234,17,798.065836
12.689172,17,798.725488
12.633616,17,799.382268
13.13437,16,800.049054
12.661394,17,800.706196
15.106234,17,801.404511
12.21695,17,802.029004
15.134012,17,802.67917
11.828815,14,803.214983
14.606234,17,803.882611
12.578061,17,812.472414
15.16179,17,813.182862
14.328457,17,813.937515
12.605839,17,814.589721
11.855839,17,815.260169
15.16179,17,815.929464
12.689172,17,816.551244
15.078457,17,817.266008
15.134012,17,817.926147
12.689172,17,818.540159
12.633616,17,819.189867
13.746109,17,819.825324
15.189568,17,820.520149
15.16179,17,821.150955
9.995482,12,821.613247
15.134012,17,831.196199
12.705833,17,831.823439
14.495123,17,832.487098
12.661394,17,833.116187
13.975165,17,833.775359
14.828457,17,834.431965
14.392019,17,835.158859
14.578457,17,835.873932
14.197388,17,836.478506
13.773887,17,837.18621
14.356234,17,837.896939
14.66179,17,838.558933
15.16179,17,839.243167
15.134012,17,839.942738
12.633616,17,840.572473
14.578457,17,849.123202
15.050679,17,849.809016
13.662776,17,850.489319
14.356234,17,851.164308
14.606234,17,851.787745
12.661394,17,852.450698
14.41179,17,853.112096
14.606234,17,853.786259
12.689172,17,854.468807
12.175559,15,855.029935
15.106234,17,856.723902
13.14802,16,857.334107
15.134012,17,858.009965
14.16961,17,858.725901
14.578457,17,859.417487
15.106234,17,868.100953
15.078457,17,868.759773
14.939568,17,869.435752
15.106234,17,870.088441
14.522901,17,870.749121
14.522901,17,871.399554
14.197388,17,872.078454
14.995123,17,872.766977
15.106234,17,873.407313
12.578061,17,874.094641
12.605839,17,874.762087
12.578061,17,875.407373
13.718331,17,876.086394
15.106234,17,876.766382
12.661394,17,877.454159
12.633616,17,886.023582
12.661394,17,886.738348
14.550679,17,887.440623
15.16179,17,888.079121
13.709977,16,889.763736
14.967346,17,890.389208
15.189568,17,891.063771
12.578061,17,891.691839
15.078457,17,892.36707
12.661394,17,893.050784
11.633616,17,893.705155
15.078457,17,894.427518
14.384012,17,895.108157
14.058499,17,895.776866
13.801665,17,896.476686
14.41179,17,897.120107
14.225165,17,905.884367
14.41179,17,906.593687
13.440554,17,907.240375
15.16179,17,907.941288
12.689172,17,908.606448
14.384012,17,909.237731
13.939568,17,909.89453
15.050679,17,910.536081
15.134012,17,911.174176
12.689172,17,911.813563
14.467346,17,912.464466
14.41179,17,913.105207
15.189568,17,913.73667
14.16961,17,914.435207
13.801665,17,915.117317
12.605839,17,924.682184
15.106234,17,925.334689
14.41179,17,926.034185
12.022505,17,926.742553
13.662776,17,927.375199
12.522505,17,928.047974
14.356234,17,928.720566
13.91961,17,929.386144
12.578061,17,930.088652
15.134012,17,930.781907
15.16179,17,931.42959
14.522901,17,932.06739
12.494727,17,932.732717
14.141832,17,933.40911
15.022901,17,934.036682
15.16179,17,942.633861
14.995123,17,943.291493
14.16961,17,943.90799
11.460272,14,944.494354
15.16179,17,945.160134
14.66179,17,945.84987
14.086277,17,946.537688
12.550283,17,947.207829
15.134012,17,947.921286
15.134012,17,948.665088
14.030721,17,949.328874
14.550679,17,950.013947
14.356234,17,950.687843
14.66179,17,951.381058
12.105839,17,952.038483
14.328457,17,962.022502
13.579443,17,962.735259
15.16179,17,963.373647
13.523887,17,964.018339
14.058499,17,964.692609
15.189568,17,965.39364
14.141832,17,966.047766
7.779386,10,966.431003
14.800679,17,967.086418
14.495123,17,967.753279
14.606234,17,968.434186
14.356234,17,969.223473
14.66179,17,969.89288
15.16179,17,970.692788
14.689568,17,971.385276
13.864054,17,980.14261
12.578061,17,980.791747
14.300679,17,981.467136
14.578457,17,982.134356
15.16179,17,982.764264
14.086277,17,983.481552
14.856234,17,984.161116
14.197388,17,984.799225
12.308685,15,985.391874
10.146975,12,985.828929
14.772901,17,986.551026
14.197388,17,987.203898
14.66179,17,987.844614
13.891832,17,989.549977
13.412776,17,990.257909
13.947388,17,990.91731
12.439172,17,999.191297
14.550679,17,999.869787
14.828457,17,1000.517079
14.578457,17,1001.182485
10.913753,13,1001.723678
14.41179,17,1002.375476
15.16179,17,1003.111537
14.384012,17,1003.797843
14.272901,17,1004.415541
14.141832,17,1005.120179
14.086277,17,1005.878528
12.191531,15,1006.45592
14.522901,17,1007.080451
14.356234,17,1007.734021
13.746109,17,1008.506252
14.606234,17,1017.382702
13.891832,17,1018.022047
14.328457,17,1018.652175
14.634012,17,1019.29872
14.197388,17,1019.954123
14.439568,17,1020.617328
10.897781,13,1021.234105
14.578457,17,1023.041912
13.496109,17,1023.682283
14.384012,17,1024.40098
13.690554,17,1025.094055
14.550679,17,1025.784457
14.578457,17,1026.447832
12.105839,17,1027.127309
14.141832,17,1027.827431
14.522901,17,1028.459053
12.439172,17,1037.081261
14.141832,17,1037.710518
13.551665,17,1038.419886
14.550679,17,1039.068702
13.891832,17,1039.75494
12.522505,17,1040.411923
12.633616,17,1041.11375
14.252943,17,1041.836798
14.16961,17,1042.509109
14.114054,17,1043.117872
12.633616,17,1043.92412
11.994727,17,1044.615226
14.439568,17,1045.295391
13.662776,17,1045.938435
14.606234,17,1046.588179
13.690554,17,1054.840133
12.328061,17,1056.619878
13.773887,17,1057.237241
14.41179,17,1057.973307
14.634012,17,1058.677466
10.167291,15,1059.309529
13.975165,17,1059.971301
13.925798,17,1060.635358
14.550679,17,1061.383103
11.911394,17,1062.071964
13.718331,17,1062.793957
14.086277,17,1063.47964
13.662776,17,1064.187212
12.105839,17,1064.813858
14.058499,17,1065.524862
13.152511,16,1073.821469
12.439172,17,1074.559434
14.66179,17,1075.175969
14.550679,17,1075.99029
14.606234,17,1076.707576
14.41179,17,1077.323478
15.106234,17,1078.08424
14.002943,17,1078.795896
14.002943,17,1079.415431
13.690554,17,1080.090173
14.634012,17,1080.763556
14.634012,17,1081.444161
14.41179,17,1082.064254
14.41179,17,1082.783788
14.030721,17,1083.459337
12.857488,16,1093.168196
14.141832,17,1093.885962
13.801665,17,1094.604414
14.141832,17,1095.278235
14.634012,17,1095.999831
12.383616,17,1096.761735
14.967346,17,1097.456368
12.689172,17,1098.120905
14.364054,17,1098.760803
13.718331,17,1099.427174
14.41179,17,1100.121952
15.16179,17,1100.788191
13.718331,17,1101.466131
15.189568,17,1102.125778
15.106234,17,1102.787353
14.328457,17,1111.225653
13.496109,17,1111.893934
14.550679,17,1112.570174
13.718331,17,1113.228528
