#{"t_start": 1765345708.5302258, "env_id": "merge-v0"}
r,l,t
12.689172,17,1429.982707
15.189568,17,1430.150772
12.689172,17,1430.285753
15.189568,17,1430.427202
15.189568,17,1430.562218
12.689172,17,1430.68445
15.289563,17,1430.820329
15.189568,17,1430.953656
15.189568,17,1431.092113
15.189568,17,1431.239964
15.050679,17,1431.395076
12.689172,17,1431.529708
15.106234,17,1431.665033
15.106234,17,1431.861118
12.844445,17,1431.997901
15.189568,17,1432.138104
12.689172,17,1432.260783
12.689172,17,1432.386792
14.772901,17,1432.526542
15.106234,17,1432.660582
12.689172,17,1432.786293
15.106234,17,1432.913416
12.689172,17,1433.040256
12.689172,17,1433.17116
15.189568,17,1433.312572
12.689172,17,1433.444533
12.689172,17,1433.575606
15.106234,17,1433.706874
15.189568,17,1433.837225
12.689172,17,1433.967137
12.689172,17,1434.093737
12.689172,17,1434.23731
15.189568,17,1434.371503
14.66179,17,1434.510523
14.772901,17,1434.640619
12.689172,17,1434.779586
15.189568,17,1434.908696
15.189568,17,1435.041957
14.717346,17,1435.174263
15.189568,17,1435.31179
12.689172,17,1435.43945
14.772901,17,1435.570064
15.106234,17,1435.699831
15.289563,17,1435.835746
15.050679,17,1435.961993
12.689172,17,1436.090544
12.689172,17,1436.212557
15.106234,17,1436.347893
12.689172,17,1436.473058
15.189568,17,1436.606326
14.634012,17,1436.73981
15.189568,17,1436.871469
14.717346,17,1437.000968
12.689172,17,1437.126793
12.689172,17,1437.253527
12.689172,17,1437.383152
12.689172,17,1437.506541
14.606234,17,1437.638039
15.189568,17,1437.773259
15.050679,17,1437.904354
12.689172,17,1438.029258
14.717346,17,1438.160775
15.189568,17,1438.291871
15.106234,17,1438.426741
12.689172,17,1438.549095
15.106234,17,1438.686542
12.689172,17,1438.82073
15.189568,17,1438.953373
14.772901,17,1439.083438
15.189568,17,1439.212888
15.189568,17,1439.346483
12.689172,17,1439.474216
12.844445,17,1439.604239
15.189568,17,1439.737117
15.189568,17,1439.868234
15.289563,17,1440.008034
12.689172,17,1440.132689
15.106234,17,1440.268112
15.189568,17,1440.399776
15.289563,17,1440.552206
12.689172,17,1440.678652
13.799718,17,1440.813428
12.689172,17,1440.946001
12.689172,17,1441.068565
15.189568,17,1441.202139
12.689172,17,1441.327991
12.689172,17,1441.463856
15.289563,17,1441.598179
15.106234,17,1441.724919
15.189568,17,1441.861128
15.189568,17,1441.993996
12.689172,17,1442.123756
15.106234,17,1442.252342
15.050679,17,1442.383385
15.289563,17,1442.521044
15.189568,17,1442.652219
15.106234,17,1442.787439
12.689172,17,1442.918709
15.106234,17,1443.057071
12.689172,17,1443.184782
12.689172,17,1443.315518
12.689172,17,1443.447123
12.689172,17,1443.571622
15.289563,17,1443.706573
12.689172,17,1443.831706
15.189568,17,1443.966488
15.189568,17,1444.097961
15.189568,17,1444.237096
15.289563,17,1444.369494
12.689172,17,1444.498463
12.689172,17,1444.621948
12.689172,17,1444.74826
15.189568,17,1444.880444
15.106234,17,1445.024054
15.189568,17,1445.156049
15.189568,17,1445.286874
15.189568,17,1445.423452
12.689172,17,1445.555313
15.106234,17,1445.683556
14.745123,17,1445.816497
12.689172,17,1445.943448
12.689172,17,1446.07677
12.689172,17,1446.226911
15.289563,17,1446.367361
12.689172,17,1446.496044
15.189568,17,1446.627685
12.689172,17,1446.760879
15.189568,17,1446.892684
15.106234,17,1447.02456
12.689172,17,1447.165718
12.689172,17,1447.302273
15.189568,17,1447.44124
12.689172,17,1447.570573
12.689172,17,1447.69792
12.689172,17,1447.822944
15.189568,17,1447.962875
12.689172,17,1448.094276
12.689172,17,1448.229343
15.106234,17,1448.370576
12.689172,17,1448.495086
15.189568,17,1448.63877
15.189568,17,1448.821505
15.106234,17,1448.995242
15.289563,17,1449.14402
12.689172,17,1449.312188
15.189568,17,1449.464214
12.844445,17,1449.603851
12.689172,17,1449.738176
15.289563,17,1449.878433
15.189568,17,1450.016367
12.689172,17,1450.151878
12.689172,17,1450.326286
12.689172,17,1450.475828
12.689172,17,1450.605211
15.189568,17,1450.750194
15.189568,17,1450.894201
15.289563,17,1451.042388
15.189568,17,1451.198915
15.189568,17,1451.344811
15.050679,17,1451.484421
15.189568,17,1451.62828
12.689172,17,1451.757378
12.689172,17,1451.884323
15.289563,17,1452.019176
15.189568,17,1452.151417
15.289563,17,1452.287056
12.689172,17,1452.419191
15.189568,17,1452.564223
12.689172,17,1452.694988
12.689172,17,1452.817665
15.189568,17,1452.955001
15.189568,17,1453.090184
12.689172,17,1453.226735
15.289563,17,1453.362191
12.689172,17,1453.49906
15.289563,17,1453.637753
12.689172,17,1453.764362
15.189568,17,1453.904505
15.189568,17,1454.046449
12.844445,17,1454.186683
14.717346,17,1454.328787
12.689172,17,1454.470242
14.717346,17,1454.604898
15.189568,17,1454.747386
15.050679,17,1454.876545
12.689172,17,1455.005652
12.689172,17,1455.143203
12.689172,17,1455.271192
15.289563,17,1455.415519
15.189568,17,1455.563271
15.189568,17,1455.702737
12.689172,17,1455.826816
12.689172,17,1455.958188
12.689172,17,1456.094866
15.289563,17,1456.234569
12.689172,17,1456.363139
12.689172,17,1456.494775
15.106234,17,1456.632954
15.189568,17,1456.765387
15.189568,17,1456.896525
15.189568,17,1457.034742
15.189568,17,1457.173938
12.689172,17,1457.304844
12.844445,17,1457.438857
15.189568,17,1457.583788
15.189568,17,1457.72332
12.689172,17,1457.845669
15.189568,17,1457.98217
15.189568,17,1458.120763
15.189568,17,1458.255465
15.189568,17,1458.393111
12.689172,17,1458.520241
12.689172,17,1458.65105
15.189568,17,1458.795079
12.689172,17,1458.923378
12.689172,17,1459.060496
12.689172,17,1459.190464
12.689172,17,1459.323819
15.189568,17,1459.459535
15.189568,17,1459.599293
15.050679,17,1459.760012
15.189568,17,1459.915631
14.772901,17,1460.065055
15.189568,17,1460.230269
15.189568,17,1460.364299
12.689172,17,1460.488306
15.189568,17,1460.621745
12.689172,17,1460.752937
15.189568,17,1460.890255
12.689172,17,1461.015028
12.689172,17,1461.140369
15.189568,17,1461.276421
15.189568,17,1461.407779
12.689172,17,1461.539157
12.689172,17,1461.67787
15.189568,17,1461.810302
12.689172,17,1461.942716
12.689172,17,1462.070565
12.689172,17,1462.209111
15.189568,17,1462.366117
12.689172,17,1462.492913
15.189568,17,1462.630219
15.289563,17,1462.765372
12.689172,17,1462.896839
12.689172,17,1463.028288
12.689172,17,1463.153245
15.189568,17,1463.284549
12.689172,17,1463.413831
15.289563,17,1463.551227
15.189568,17,1463.701642
15.189568,17,1463.835077
15.189568,17,1463.970415
15.189568,17,1464.115185
12.689172,17,1464.259359
15.106234,17,1464.393292
15.189568,17,1464.528044
15.189568,17,1464.667063
12.689172,17,1464.794675
12.689172,17,1464.919401
12.689172,17,1465.050047
12.689172,17,1465.190273
12.689172,17,1465.326589
12.844445,17,1465.458052
15.189568,17,1465.590886
12.689172,17,1465.727415
12.21695,17,1465.911182
15.189568,17,1466.086759
12.689172,17,1466.222296
15.189568,17,1466.357704
15.189568,17,1466.492801
15.189568,17,1466.631944
12.689172,17,1466.757665
15.189568,17,1466.909686
15.289563,17,1467.094786
15.189568,17,1467.254361
15.050679,17,1467.391284
12.689172,17,1467.518871
15.189568,17,1467.660587
15.106234,17,1467.79445
12.689172,17,1467.918303
12.689172,17,1468.043705
15.189568,17,1468.182348
12.689172,17,1468.342808
15.189568,17,1468.486706
15.289563,17,1468.627337
15.289563,17,1468.76634
12.689172,17,1468.930632
12.689172,17,1469.089673
15.189568,17,1469.224724
12.689172,17,1469.349197
12.689172,17,1469.475402
12.689172,17,1469.6035
12.689172,17,1469.741136
12.689172,17,1469.893472
15.189568,17,1470.043015
14.717346,17,1470.209793
15.189568,17,1470.352035
12.689172,17,1470.48134
12.689172,17,1470.605113
15.189568,17,1470.739847
12.689172,17,1470.865196
15.189568,17,1470.999439
12.689172,17,1471.124891
15.189568,17,1471.263762
15.189568,17,1471.404714
12.689172,17,1471.533969
12.689172,17,1471.665732
15.189568,17,1471.802689
12.689172,17,1471.932895
12.689172,17,1472.059818
15.189568,17,1472.194917
15.189568,17,1472.329464
12.689172,17,1472.46013
15.189568,17,1472.590609
15.189568,17,1472.726298
12.689172,17,1472.853137
15.106234,17,1472.979779
12.689172,17,1473.108712
15.189568,17,1473.241843
15.189568,17,1473.372195
12.689172,17,1473.503258
15.189568,17,1473.637897
15.289563,17,1473.777986
12.689172,17,1473.911728
15.289563,17,1474.048172
12.689172,17,1474.175774
12.689172,17,1474.304952
15.289563,17,1474.450754
15.189568,17,1474.59064
12.689172,17,1474.720272
15.189568,17,1474.850005
15.289563,17,1474.985774
15.289563,17,1475.124776
15.189568,17,1475.26348
15.289563,17,1475.401124
12.689172,17,1475.528707
15.189568,17,1475.662831
15.189568,17,1475.797432
15.189568,17,1475.933704
15.189568,17,1476.064313
15.189568,17,1476.1932
15.050679,17,1476.324752
12.689172,17,1476.458323
12.689172,17,1476.590027
12.689172,17,1476.723951
15.189568,17,1476.857829
15.189568,17,1476.989416
15.289563,17,1477.130901
15.289563,17,1477.285619
12.689172,17,1477.420964
12.689172,17,1477.551633
15.189568,17,1477.691809
15.189568,17,1477.819476
15.050679,17,1477.962277
12.689172,17,1478.092471
15.189568,17,1478.233403
12.689172,17,1478.357744
14.772901,17,1478.49137
15.189568,17,1478.638632
12.689172,17,1478.829196
15.289563,17,1478.969898
12.689172,17,1479.097337
15.189568,17,1479.231019
12.689172,17,1479.356797
15.189568,17,1479.491251
15.289563,17,1479.627904
15.189568,17,1479.765838
12.689172,17,1479.894473
15.289563,17,1480.051073
15.189568,17,1480.181732
15.189568,17,1480.319806
15.189568,17,1480.452275
15.106234,17,1480.586754
12.689172,17,1480.719781
15.189568,17,1480.859658
15.189568,17,1480.999807
15.189568,17,1481.131406
15.189568,17,1481.262961
15.050679,17,1481.389458
15.106234,17,1481.516927
12.844445,17,1481.676528
12.689172,17,1481.809479
15.189568,17,1481.952734
15.189568,17,1482.085665
15.189568,17,1482.22348
12.844445,17,1482.354435
12.689172,17,1482.477711
12.689172,17,1482.606767
15.289563,17,1482.745832
15.289563,17,1482.882553
15.189568,17,1483.016401
12.689172,17,1483.143849
12.689172,17,1483.275389
12.689172,17,1483.400897
15.189568,17,1483.534644
15.189568,17,1483.666654
12.689172,17,1483.793235
15.289563,17,1483.932989
15.189568,17,1484.072023
15.189568,17,1484.206495
15.189568,17,1484.347557
15.289563,17,1484.486535
12.689172,17,1484.616754
12.689172,17,1484.747966
12.689172,17,1484.875775
12.689172,17,1485.004341
12.689172,17,1485.127935
15.106234,17,1485.263237
14.772901,17,1485.395516
15.106234,17,1485.521885
12.689172,17,1485.648192
15.289563,17,1485.784873
12.689172,17,1485.913248
15.189568,17,1486.055968
12.689172,17,1486.180113
12.689172,17,1486.308082
15.189568,17,1486.437635
12.844445,17,1486.567288
12.689172,17,1486.695117
15.289563,17,1486.831285
15.189568,17,1486.971007
12.689172,17,1487.10217
12.689172,17,1487.226878
12.161394,17,1487.362183
15.189568,17,1487.494805
15.189568,17,1487.625957
15.189568,17,1487.759386
15.189568,17,1487.892733
12.689172,17,1488.025682
12.689172,17,1488.160364
12.689172,17,1488.288973
15.189568,17,1488.422034
14.745123,17,1488.554873
14.745123,17,1488.68244
15.050679,17,1488.815407
15.289563,17,1488.95072
12.689172,17,1489.072941
12.689172,17,1489.202108
12.689172,17,1489.329278
12.689172,17,1489.457981
15.189568,17,1489.594712
15.189568,17,1489.726622
12.689172,17,1489.857778
15.106234,17,1489.991539
12.689172,17,1490.125532
12.689172,17,1490.264142
15.106234,17,1490.390287
15.106234,17,1490.523556
15.289563,17,1490.657692
12.689172,17,1490.791671
12.689172,17,1490.921876
12.689172,17,1491.048781
15.050679,17,1491.176188
15.050679,17,1491.320056
15.289563,17,1491.454543
12.689172,17,1491.577951
12.689172,17,1491.703705
12.689172,17,1491.840579
12.689172,17,1491.965417
15.289563,17,1492.109365
12.689172,17,1492.23925
15.189568,17,1492.390606
12.689172,17,1492.517649
12.689172,17,1492.642892
12.689172,17,1492.772728
12.21695,17,1492.908044
12.689172,17,1493.035487
12.689172,17,1493.16424
15.289563,17,1493.298927
12.689172,17,1493.431463
15.106234,17,1493.558207
15.189568,17,1493.69278
15.106234,17,1493.818958
12.689172,17,1493.945043
15.189568,17,1494.117863
12.689172,17,1494.268152
15.106234,17,1494.409309
14.689568,17,1494.541816
15.189568,17,1494.681886
12.689172,17,1494.812706
15.189568,17,1494.942601
12.689172,17,1495.073342
15.050679,17,1495.209015
12.689172,17,1495.333047
12.689172,17,1495.461317
15.189568,17,1495.5972
15.189568,17,1495.727154
15.189568,17,1495.865803
15.289563,17,1496.000935
14.772901,17,1496.143159
15.189568,17,1496.276141
12.689172,17,1496.404145
15.189568,17,1496.543979
15.289563,17,1496.677247
12.689172,17,1496.806757
15.289563,17,1496.942067
15.189568,17,1497.073258
15.189568,17,1497.207811
15.189568,17,1497.339754
12.689172,17,1497.463687
